nu,gamma,diff1,diif2,diff3
1e-10,1e-10,1.0,1.0,0.0
1e-10,0.0052631579894736845,1.0,1.0,0.0
1e-10,0.01052631587894737,1.0,1.0,0.0
1e-10,0.015789473768421054,1.0,1.0,0.0
1e-10,0.02105263165789474,1.0,1.0,0.0
1e-10,0.026315789547368428,1.0,1.0,0.0
1e-10,0.03157894743684211,1.0,1.0,0.0
1e-10,0.036842105326315794,1.0,1.0,0.0
1e-10,0.04210526321578948,1.0,1.0,0.0
1e-10,0.04736842110526317,1.0,1.0,0.0
1e-10,0.052631578994736854,1.0,1.0,0.0
1e-10,0.05789473688421053,1.0,1.0,0.0
1e-10,0.0631578947736842,1.0,1.0,0.0
1e-10,0.0684210526631579,1.0,1.0,0.0
1e-10,0.07368421055263158,1.0,1.0,0.0
1e-10,0.07894736844210527,1.0,1.0,0.0
1e-10,0.08421052633157895,1.0,1.0,0.0
1e-10,0.08947368422105263,1.0,1.0,0.0
1e-10,0.09473684211052633,1.0,1.0,0.0
1e-10,0.1,1.0,1.0,0.0
0.0052631579894736845,1e-10,1.0,1.0,0.0
0.0052631579894736845,0.0052631579894736845,0.05797101449275366,0.07999999999999996,0.8333333333333334
0.0052631579894736845,0.01052631587894737,0.07971014492753625,0.17333333333333334,0.7424242424242424
0.0052631579894736845,0.015789473768421054,0.1159420289855072,0.18666666666666665,0.7272727272727273
0.0052631579894736845,0.02105263165789474,0.10144927536231885,0.21333333333333337,0.7121212121212122
0.0052631579894736845,0.026315789547368428,0.15217391304347827,0.22666666666666668,0.6666666666666666
0.0052631579894736845,0.03157894743684211,0.14492753623188404,0.2533333333333333,0.5757575757575758
0.0052631579894736845,0.036842105326315794,0.16666666666666663,0.31999999999999995,0.5303030303030303
0.0052631579894736845,0.04210526321578948,0.1811594202898551,0.3733333333333333,0.48484848484848486
0.0052631579894736845,0.04736842110526317,0.19565217391304346,0.3866666666666667,0.3939393939393939
0.0052631579894736845,0.052631578994736854,0.23913043478260865,0.41333333333333333,0.3484848484848485
0.0052631579894736845,0.05789473688421053,0.2753623188405797,0.48,0.3333333333333333
0.0052631579894736845,0.0631578947736842,0.28260869565217395,0.52,0.2878787878787879
0.0052631579894736845,0.0684210526631579,0.2971014492753623,0.6,0.22727272727272727
0.0052631579894736845,0.07368421055263158,0.3188405797101449,0.6266666666666667,0.16666666666666666
0.0052631579894736845,0.07894736844210527,0.3695652173913043,0.6533333333333333,0.13636363636363635
0.0052631579894736845,0.08421052633157895,0.3623188405797102,0.6933333333333334,0.06060606060606061
0.0052631579894736845,0.08947368422105263,0.3623188405797102,0.72,0.030303030303030304
0.0052631579894736845,0.09473684211052633,0.3913043478260869,0.7333333333333334,0.0
0.0052631579894736845,0.1,0.3840579710144928,0.7466666666666666,0.0
0.01052631587894737,1e-10,1.0,1.0,0.0
0.01052631587894737,0.0052631579894736845,0.050724637681159424,0.07999999999999996,0.8333333333333334
0.01052631587894737,0.01052631587894737,0.08695652173913049,0.17333333333333334,0.7424242424242424
0.01052631587894737,0.015789473768421054,0.08695652173913049,0.18666666666666665,0.7272727272727273
0.01052631587894737,0.02105263165789474,0.10144927536231885,0.21333333333333337,0.7121212121212122
